uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
DHFR-D001749	0.188	3	DHFR-D001749	DHFR	D001749	Urinary Bladder Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	both	unsupported target	II
DHFR-D001943	0.195	3	DHFR-D001943	DHFR	D001943	Breast Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	both	unsupported target	II
DHFR-D002289	0.187	5	DHFR-D002289	DHFR	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	oncology	both	unsupported target	Launched
DHFR-D003424	0.191	3	DHFR-D003424	DHFR	D003424	Crohn Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	digestive	both	unsupported target	II
DHFR-D006258	0.197	2	DHFR-D006258	DHFR	D006258	Head and Neck Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	oncology	both	unsupported target	I
DHFR-D006689	0.381	3	DHFR-D006689	DHFR	D006689	Hodgkin Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	gwas	unsupported target	II
DHFR-D008175	0.196	2	DHFR-D008175	DHFR	D008175	Lung Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	oncology	both	unsupported target	I
DHFR-D008224	0.358	2	DHFR-D008224	DHFR	D008224	Lymphoma, Follicular	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	OMIM	NA	NA	1	oncology	gwas	unsupported target	I
DHFR-D008228	0.395	3	DHFR-D008228	DHFR	D008228	Lymphoma, Non-Hodgkin	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	both	unsupported target	II
DHFR-D008258	0.387	3	DHFR-D008258	DHFR	D008258	Waldenstrom Macroglobulinemia	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	136378	D000749	Anemia, Megaloblastic	OMIM	NA	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive	https://omim.org/entry/126060	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	oncology	gwas	unsupported target	II
